_id,edad,genero,cp,estado,ciudad,contractnumber,weekly_earnings,trips,stars,payment_amount,is_paid,week,tenure_weeks,support_tickets,vehicle_power
6500dcd00c9ca0a1271d370f,27,H,44250,Jalisco,GUADALAJARA,2001,5023.46,58,4.79,2924.72,1,01/01/2024,56,0,Gasoline
6500dcd00c9ca0a1271d370f,27,H,44250,Jalisco,GUADALAJARA,2001,7022.41,69,4.2,2924.72,1,08/01/2024,57,1,EV
6500dcd00c9ca0a1271d370f,27,H,44250,Jalisco,GUADALAJARA,2001,9993.64,116,4.83,2924.72,1,15/01/2024,58,7,EV
6500dcd00c9ca0a1271d370f,27,H,44250,Jalisco,GUADALAJARA,2001,7501.83,90,4.97,2924.72,1,22/01/2024,59,1,Gasoline
6500dcd00c9ca0a1271d370f,27,H,44250,Jalisco,GUADALAJARA,2001,8577.18,76,4.66,2924.72,0,29/01/2024,60,0,Gasoline
6500dcd00c9ca0a1271d370f,27,H,44250,Jalisco,GUADALAJARA,2001,10270.93,102,4.61,2924.72,1,05/02/2024,60,0,Gasoline
6500dcd00c9ca0a1271d370f,27,H,44250,Jalisco,GUADALAJARA,2001,8155.01,116,4.65,2924.72,1,12/02/2024,61,0,Gasoline
652dc69c424e06b3a0c98f34,33,H,22206,Baja California,TIJUANA,5059,5817.35,75,4.51,3270.43,1,01/01/2024,69,0,Gasoline
652dc69c424e06b3a0c98f34,33,H,22206,Baja California,TIJUANA,5059,6121.88,64,4.65,3270.43,1,08/01/2024,70,0,EV
652dc69c424e06b3a0c98f34,33,H,22206,Baja California,TIJUANA,5059,5896.74,44,4.73,3270.43,0,15/01/2024,71,0,Gasoline
652dc69c424e06b3a0c98f34,33,H,22206,Baja California,TIJUANA,5059,5136.34,56,4.71,3270.43,1,22/01/2024,71,0,Gasoline
652dc69c424e06b3a0c98f34,33,H,22206,Baja California,TIJUANA,5059,7635.69,112,5,3270.43,1,29/01/2024,72,0,Gasoline
652dc69c424e06b3a0c98f34,33,H,22206,Baja California,TIJUANA,5059,6469.13,100,5,3270.43,1,05/02/2024,73,0,EV
652dc69c424e06b3a0c98f34,33,H,22206,Baja California,TIJUANA,5059,5397.5,62,5,3270.43,0,12/02/2024,74,0,Gasoline
652dc774424e06b3a0c98f63,41,H,9239,Ciudad de México,Iztapalapa,1242,6035.38,67,4.69,3139.2,1,01/01/2024,64,0,EV
652dc774424e06b3a0c98f63,41,H,9239,Ciudad de México,Iztapalapa,1242,9143.65,98,4.19,3139.2,1,08/01/2024,65,0,Gasoline
652dc774424e06b3a0c98f63,41,H,9239,Ciudad de México,Iztapalapa,1242,7177.08,88,4.67,3139.2,1,15/01/2024,66,1,Gasoline
652dc774424e06b3a0c98f63,41,H,9239,Ciudad de México,Iztapalapa,1242,8718.87,94,5,3139.2,1,22/01/2024,67,0,Gasoline
652dc774424e06b3a0c98f63,41,H,9239,Ciudad de México,Iztapalapa,1242,6863.92,86,4.3,3139.2,1,29/01/2024,68,1,EV
652dc774424e06b3a0c98f63,41,H,9239,Ciudad de México,Iztapalapa,1242,5355.2,90,4.81,3139.2,1,05/02/2024,69,0,EV
652dc774424e06b3a0c98f63,41,H,9239,Ciudad de México,Iztapalapa,1242,9211.85,99,4.87,3139.2,1,12/02/2024,70,1,EV
652dcd1a424e06b3a0c98fab,34,H,50250,Estado de México,San Felipe,1244,10411.92,88,4.76,3059.2,0,01/01/2024,60,1,Gasoline
652dcd1a424e06b3a0c98fab,34,H,50250,Estado de México,San Felipe,1244,12100.28,105,4.5,3059.2,1,08/01/2024,60,0,EV
652dcd1a424e06b3a0c98fab,34,H,50250,Estado de México,San Felipe,1244,10927.92,94,4.64,3059.2,1,15/01/2024,61,0,Gasoline
652dcd1a424e06b3a0c98fab,34,H,50250,Estado de México,San Felipe,1244,9569.72,102,5,3059.2,1,22/01/2024,62,0,Gasoline
652dcd1a424e06b3a0c98fab,34,H,50250,Estado de México,San Felipe,1244,11547.71,137,4.57,3059.2,1,29/01/2024,63,0,Gasoline
652dcd1a424e06b3a0c98fab,34,H,50250,Estado de México,San Felipe,1244,11333.24,143,4.45,3059.2,1,05/02/2024,64,1,Gasoline
652dcd1a424e06b3a0c98fab,34,H,50250,Estado de México,San Felipe,1244,10869.43,128,5,3059.2,1,12/02/2024,65,0,Gasoline
652edf47424e06b3a0c990f7,40,H,22170,Baja California,TIJUANA,5001,5097.37,56,5,2793.61,1,01/01/2024,57,0,Gasoline
652edf47424e06b3a0c990f7,40,H,22170,Baja California,TIJUANA,5001,6171.7,43,5,2793.61,1,08/01/2024,58,0,Gasoline
652edf47424e06b3a0c990f7,40,H,22170,Baja California,TIJUANA,5001,5540.21,68,4.93,2793.61,1,15/01/2024,59,0,Gasoline
652edf47424e06b3a0c990f7,40,H,22170,Baja California,TIJUANA,5001,6537.37,76,4.85,2793.61,1,22/01/2024,60,0,Gasoline
652edf47424e06b3a0c990f7,40,H,22170,Baja California,TIJUANA,5001,7455.18,85,4.64,2793.61,1,29/01/2024,61,0,Gasoline
652edf47424e06b3a0c990f7,40,H,22170,Baja California,TIJUANA,5001,6757.71,82,4.65,2793.61,1,05/02/2024,62,0,Gasoline
652edf47424e06b3a0c990f7,40,H,22170,Baja California,TIJUANA,5001,6410.24,72,4.78,2793.61,1,12/02/2024,63,0,Gasoline
6532c813d39861459e540a68,38,H,56507,Estado de México,LA PAZ,1006,9632.85,90,4.26,2793.6,1,01/01/2024,70,0,EV
6532c813d39861459e540a68,38,H,56507,Estado de México,LA PAZ,1006,8739.05,87,4.6,2793.6,1,08/01/2024,71,1,Gasoline
6532c813d39861459e540a68,38,H,56507,Estado de México,LA PAZ,1006,7683.16,68,5,2793.6,1,15/01/2024,72,0,Gasoline
6532c813d39861459e540a68,38,H,56507,Estado de México,LA PAZ,1006,8940.37,91,5,2793.6,1,22/01/2024,73,0,Gasoline
6532c813d39861459e540a68,38,H,56507,Estado de México,LA PAZ,1006,46419.05,495,4.7,2793.6,1,29/01/2024,74,0,Gasoline
6532c813d39861459e540a68,38,H,56507,Estado de México,LA PAZ,1006,9696.77,101,4.65,2793.6,0,05/02/2024,75,0,Gasoline
6532c813d39861459e540a68,38,H,56507,Estado de México,LA PAZ,1006,9014.03,102,4.58,2793.6,1,12/02/2024,75,0,EV
6532ceb5d39861459e540af6,56,H,1510,Ciudad de México,ALVARO OBREGON,1007,10677.29,97,5,2734.85,1,01/01/2024,56,0,EV
6532ceb5d39861459e540af6,56,H,1510,Ciudad de México,ALVARO OBREGON,1007,10720.16,99,4.87,2734.85,1,08/01/2024,57,0,EV
6532ceb5d39861459e540af6,56,H,1510,Ciudad de México,ALVARO OBREGON,1007,9545.94,152,4.8,2734.85,1,15/01/2024,58,0,Gasoline
6532ceb5d39861459e540af6,56,H,1510,Ciudad de México,ALVARO OBREGON,1007,11698.78,121,4.73,2734.85,1,22/01/2024,59,0,Gasoline
6532ceb5d39861459e540af6,56,H,1510,Ciudad de México,ALVARO OBREGON,1007,9234.86,106,4.97,2734.85,1,29/01/2024,60,0,EV
6532ceb5d39861459e540af6,56,H,1510,Ciudad de México,ALVARO OBREGON,1007,10186.09,110,4.16,2734.85,1,05/02/2024,61,0,Gasoline
6532ceb5d39861459e540af6,56,H,1510,Ciudad de México,ALVARO OBREGON,1007,9788.46,121,4.72,2734.85,1,12/02/2024,62,0,Gasoline
6532d0a1c646b446bdce237c,61,H,4400,Ciudad de México,COYOACAN,1008,7915.65,98,5,3219.71,1,01/01/2024,68,0,Gasoline
6532d0a1c646b446bdce237c,61,H,4400,Ciudad de México,COYOACAN,1008,6206.78,60,4.35,3219.71,1,08/01/2024,69,0,Gasoline
6532d0a1c646b446bdce237c,61,H,4400,Ciudad de México,COYOACAN,1008,8186.42,77,4.56,3219.71,1,15/01/2024,70,0,EV
6532d0a1c646b446bdce237c,61,H,4400,Ciudad de México,COYOACAN,1008,6509.13,77,4.4,3219.71,0,22/01/2024,71,1,EV
6532d0a1c646b446bdce237c,61,H,4400,Ciudad de México,COYOACAN,1008,6468.07,236,4.8,3219.71,1,29/01/2024,71,1,Gasoline
6532d0a1c646b446bdce237c,61,H,4400,Ciudad de México,COYOACAN,1008,9632.39,90,4.99,3219.71,1,05/02/2024,72,0,Gasoline
6532d0a1c646b446bdce237c,61,H,4400,Ciudad de México,COYOACAN,1008,6011.13,57,4.8,3219.71,1,12/02/2024,73,0,Gasoline
6532d33bc646b446bdce2439,30,H,7920,Ciudad de México,GUSTAVO A MADERO,1009,8894.33,147,4.77,3060.67,1,01/01/2024,60,2,Gasoline
6532d33bc646b446bdce2439,30,H,7920,Ciudad de México,GUSTAVO A MADERO,1009,10259.12,127,4.91,3060.67,1,08/01/2024,61,1,EV
6532d33bc646b446bdce2439,30,H,7920,Ciudad de México,GUSTAVO A MADERO,1009,8940.95,111,4.88,3060.67,1,15/01/2024,62,1,Gasoline
6532d33bc646b446bdce2439,30,H,7920,Ciudad de México,GUSTAVO A MADERO,1009,10698.1,123,4.81,3060.67,1,22/01/2024,63,0,EV
6532d33bc646b446bdce2439,30,H,7920,Ciudad de México,GUSTAVO A MADERO,1009,9612.94,77,5,3060.67,0,29/01/2024,64,0,Gasoline
6532d33bc646b446bdce2439,30,H,7920,Ciudad de México,GUSTAVO A MADERO,1009,7518.88,78,4.95,3060.67,0,05/02/2024,64,0,Gasoline
6532d33bc646b446bdce2439,30,H,7920,Ciudad de México,GUSTAVO A MADERO,1009,10671.12,107,4.36,3060.67,1,12/02/2024,64,0,Gasoline
6532d4c7c646b446bdce24db,47,H,54490,Estado de México,TULTITLAN,1010,5457.38,58,4.59,3124.84,1,01/01/2024,60,1,Gasoline
6532d4c7c646b446bdce24db,47,H,54490,Estado de México,TULTITLAN,1010,5088.18,56,5,3124.84,1,08/01/2024,61,1,Gasoline
6532d4c7c646b446bdce24db,47,H,54490,Estado de México,TULTITLAN,1010,5776.79,63,4.47,3124.84,1,15/01/2024,62,0,Gasoline
6532d4c7c646b446bdce24db,47,H,54490,Estado de México,TULTITLAN,1010,5446.29,96,5,3124.84,1,22/01/2024,63,0,Gasoline
6532d4c7c646b446bdce24db,47,H,54490,Estado de México,TULTITLAN,1010,2133.17,22,4.88,3124.84,1,29/01/2024,64,0,Gasoline
6532d4c7c646b446bdce24db,47,H,54490,Estado de México,TULTITLAN,1010,3943.79,40,4.92,3124.84,1,05/02/2024,65,0,EV
6532d4c7c646b446bdce24db,47,H,54490,Estado de México,TULTITLAN,1010,4125.24,38,4.47,3124.84,0,12/02/2024,66,1,Gasoline
6532d823c646b446bdce259a,38,H,14420,Ciudad de México,TLALPAN,1011,5103.05,65,4.73,2712.35,0,01/01/2024,70,0,EV
6532d823c646b446bdce259a,38,H,14420,Ciudad de México,TLALPAN,1011,6470.09,65,3.88,2712.35,1,08/01/2024,70,1,Gasoline
6532d823c646b446bdce259a,38,H,14420,Ciudad de México,TLALPAN,1011,5481.84,56,4.87,2712.35,1,15/01/2024,71,0,Gasoline
6532d823c646b446bdce259a,38,H,14420,Ciudad de México,TLALPAN,1011,4252.08,43,4.69,2712.35,1,22/01/2024,72,0,Gasoline
6532d823c646b446bdce259a,38,H,14420,Ciudad de México,TLALPAN,1011,6151.18,55,4.96,,0,29/01/2024,73,1,Gasoline
6532d823c646b446bdce259a,38,H,14420,Ciudad de México,TLALPAN,1011,5122.78,55,5,2712.35,0,05/02/2024,73,0,Gasoline
